company_id,company_name,year,quarter,report_type,revenue_q,revenue_q_prev,revenue_yoy,gross_profit_q,gross_profit_q_prev,gross_profit_yoy,operating_income_q,operating_income_q_prev,operating_income_yoy,net_income_q,net_income_q_prev,net_income_yoy,eps_q,eps_q_prev,eps_change_q,revenue_ytd,revenue_ytd_prev,revenue_ytd_yoy,gross_profit_ytd,gross_profit_ytd_prev,gross_profit_ytd_yoy,operating_income_ytd,operating_income_ytd_prev,operating_income_ytd_yoy,net_income_ytd,net_income_ytd_prev,net_income_ytd_yoy,eps_ytd,eps_ytd_prev,eps_change_ytd,total_assets_q,total_assets_q_prev,total_liabilities_q,total_liabilities_q_prev,debt_ratio_q,debt_ratio_q_prev,debt_ratio_yoy_change,gross_margin_q,gross_margin_q_prev,gross_margin_yoy_change,operating_margin_q,operating_margin_q_prev,operating_margin_yoy_change,net_margin_q,net_margin_q_prev,net_margin_yoy_change
4119,旭富製藥科技股份有限公司,2025,3,合併,256.44,419.29,-38.84,68.37,116.0,-41.06,18.73,50.92,-63.22,14.0,381.15,-96.33,0.12,3.19,-3.07,988.25,1121.89,-11.91,251.43,315.82,-20.39,112.44,151.03,-25.55,68.52,487.85,-85.95,0.57,4.08,-3.51,6853.18,7229.32,1481.92,1808.44,21.62,25.02,-3.4,26.66,27.67,-1.01,7.3,12.15,-4.85,5.46,90.9,-85.44
4133,亞諾法生技股份有限公司,2025,3,合併,85.28,90.43,-5.7,37.03,41.63,-11.05,-0.63,8.33,-107.56,11.48,3.12,267.95,0.19,0.05,0.14,267.36,267.21,0.06,116.61,124.87,-6.61,11.94,30.8,-61.23,-11.69,48.12,-124.29,-0.19,0.79,-0.98,1316.97,1372.45,74.25,77.2,5.64,5.63,0.01,43.43,46.03,-2.6,-0.74,9.21,-9.95,13.46,3.45,10.01
4137,麗豐股份有限公司,2025,3,合併,1025.02,1022.85,0.21,854.58,860.47,-0.68,263.03,179.28,46.71,164.95,125.83,31.09,2.0,1.52,0.48,2775.6,3039.29,-8.68,2277.44,2524.07,-9.77,506.1,608.52,-16.83,437.12,414.22,5.53,5.3,5.11,0.19,9092.04,8784.23,4265.94,3268.32,46.92,37.21,9.71,83.37,84.13,-0.76,25.66,17.53,8.13,16.09,12.3,3.79
4142,國光生物科技股份有限公司,2025,3,合併,475.32,888.24,-46.49,84.41,440.27,-80.83,-61.86,268.71,-123.02,-18.26,263.3,-106.94,-0.04,0.62,-0.66,656.04,1011.92,-35.17,-80.98,334.96,-124.18,-531.84,-218.64,-143.25,-460.31,-194.46,-136.71,-1.09,-0.46,-0.63,8380.51,8621.55,3527.45,2979.2,42.09,34.56,7.53,17.76,49.57,-31.81,-13.01,30.25,-43.26,-3.84,29.64,-33.48
4148,全宇生技控股有限公司,2025,3,合併,829.8,746.29,11.19,223.5,221.37,0.96,95.86,83.27,15.12,68.76,72.11,-4.65,1.02,1.07,-0.05,2117.26,1748.23,21.11,593.36,475.41,24.81,219.38,112.32,95.32,117.89,108.56,8.59,1.75,1.61,0.14,3880.86,3843.29,698.22,572.62,17.99,14.9,3.09,26.93,29.66,-2.73,11.55,11.16,0.39,8.29,9.66,-1.37
4155,訊映光電股份有限公司,2025,3,合併,379.58,458.27,-17.17,132.47,27.95,373.95,51.94,-21.75,338.8,85.19,-24.24,451.44,0.6,-0.17,0.77,1218.71,1249.31,-2.45,336.01,168.84,99.01,51.38,22.37,129.68,28.91,54.13,-46.59,0.2,0.38,-0.18,3893.33,3428.46,1372.1,973.44,35.24,28.39,6.85,34.9,6.1,28.8,13.68,-4.75,18.43,22.44,-5.29,27.73
4164,承業生醫投資控股股份有限公司,2025,3,合併,1099.24,963.04,14.14,299.8,207.71,44.34,106.94,85.74,24.73,67.19,92.83,-27.62,0.35,0.56,-0.21,3188.84,2579.12,23.64,766.49,543.29,41.08,216.35,169.6,27.56,116.29,123.26,-5.65,0.64,0.74,-0.1,14834.94,13542.19,6887.31,6928.98,46.43,51.17,-4.74,27.27,21.57,5.7,9.73,8.9,0.83,6.11,9.64,-3.53
4169,泰宗生物科技股份有限公司,2025,3,合併,172.66,164.69,4.84,78.02,78.84,-1.04,6.24,-1.64,480.49,7.74,13.67,-43.38,0.13,0.23,-0.1,510.5,494.63,3.21,239.64,246.22,-2.67,25.28,13.53,86.84,23.59,23.52,0.3,0.4,0.4,0.0,1179.12,1189.0,118.34,127.26,10.04,10.7,-0.66,45.19,47.87,-2.68,3.61,-1.0,4.61,4.48,8.3,-3.82
4178,永笙生技股份有限公司及子公司,2025,3,合併,84.4,97.88,-13.77,24.75,30.98,-20.11,-62.82,-59.98,-4.73,-42.52,-44.66,4.79,-0.22,-0.26,0.04,281.7,279.27,0.87,101.47,88.31,14.9,-157.5,-184.58,14.67,-128.27,-146.3,12.32,-0.67,-0.89,0.22,3057.62,3293.12,1324.17,1378.86,43.31,41.87,1.44,29.32,31.66,-2.34,-74.44,-61.28,-13.16,-50.39,-45.63,-4.76
4190,佐登妮絲集團股份有限公司,2025,3,合併,550.06,571.59,-3.77,343.56,348.16,-1.32,-35.0,-109.44,68.02,-33.6,-96.56,65.2,-0.57,-1.61,1.04,1673.55,1710.58,-2.16,1052.18,1052.94,-0.07,-116.8,-256.87,54.53,-106.57,-256.27,58.41,-1.8,-4.27,2.47,6799.45,8306.17,5242.94,6433.0,77.11,77.45,-0.34,62.46,60.91,1.55,-6.36,-19.15,12.79,-6.11,-16.89,10.78
